,,versionOne,,,,,,,,,,,
participantNo,participantGender,videoNo,speakerGender,fixation on gesture1(ms),fixation on gesture2(ms),fixation on speaker face(ms),fixation on slides(ms),fixation on other objects in the scene(ms),aggregated preference score of 4 attitude questions,,,,
1,F,A,F,500,2000,20000,20000,100,10,,,,
1,F,B,M,4000,20,10000,500,30000,18,,,,
2,M,A,F,40,8000,40000,10000,18000,7,,,,
2,M,B,M,1000,800,2000,40,2000,15,,,,
,,,,,,,,,,,,,
,,versionTwo,,,,,,,,,,,
participantNo,participantGender,videoNo,speakerGender,gesture1Counts or Duration,gesture2Counts or Duration,speakerfaceDuration(ms),slidesDuration(ms),storyinspeech(describe)Duration(ms),reasoninginspeech(reason)Duration(ms),cameraZoominDuration(ms),cameraOnAudience(ms),aggreagted fixation time(ms)/counts ,aggreagted fixation time/counts on object1
1,F,A,F,,,,,,,,,,
1,F,B,M,,,,,,,,,,
2,M,A,F,,,,,,,,,,
2,M,B,M,,,,,,,,,,
